563;Horovce okres Puchov;851
564;Lazy pod Makytou;1230
565;Lednica;951
566;Lednicke Rovne;4043
567;Luky;924
568;Lysa pod Makytou;2099
569;Mestecko;528
570;Mojtin;442
571;Puchov;17923
572;Visolaje;930
573;Zariecie;701
574;Dolne Kockovce;1223
575;Nimnica;715
576;Strezenice;960
577;Vydrna;320
578;Kvasov;652
579;Horna Breznica;487
580;Trencin;55593
581;Adamovske Kochanovce;862
582;Bobot;746
583;Dolna Poruba;791
584;Dolna Suca;3060
585;Drietoma;2264
586;Dubodiel;948
587;Horna Suca;3415
588;Hornany;451
589;Horne Srnie;2788
590;Hrabovka;429
591;ChocholnaVelcice;1693
592;Ivanovce;958
593;KostolnaZariecie;667
594;KrivosudBodovka;342
595;Mnichova Lehota;1215
596;Motesice;803
597;Nemsova;6350
598;Neporadza okres Trencin;797
599;Omsenie;1963
600;Opatovce;419
601;Selec;1007
602;Soblahov;2271
603;Svinna;1568
604;Stvrtok;361
605;Trencianska Tepla;4208
606;Trencianska Turna;3310
607;Trencianske Jastrabie;1232
608;Trencianske Mitice;773
609;Trencianske Teplice;4196
610;Velka Hradna;710
611;Velke Bierovce;691
612;MelciceLieskove;1630
613;Trencianske Stankovce;3239
614;Skalka nad Vahom;1173
615;Zamarovce;1013
616;Petrova Lehota;180
617;Komarno;34190
618;Bajc;1235
619;Bodza;393
620;Brestovec okres Komarno;500
621;Buc;1128
622;Calovec;1176
623;Cicov;1269
624;Dedina Mladeze;457
625;Svaty Peter;2774
626;Dulovce;1735
627;Hurbanovo;7515
628;Chotin;1382
629;Imel;1948
630;Iza;1638
631;Kamenicna;1914
632;Klizska Nema;503
633;Kolarovo;10599
634;Kravany nad Dunajom;721
635;Lipove;140
636;Marcelova;3728
637;Martovce;692
638;Moca;1128
639;Modrany;1416
640;Mudronovo;121
641;Nesvady;5096
642;Okolicna na Ostrove;1502
643;Patince;458
644;Pribeta;2849
645;Radvan nad Dunajom;701
646;Sokolce;1213
647;Srobarova;502
648;Ton;758
649;Travnik;715
650;Velke Kosihy;965
651;Batorove Kosihy;3341
652;Vrbova nad Vahom;546
653;Zemianska Olca;2315
654;Zlatna na Ostrove;2376
655;Bodzianske Luky;192
656;Virt;290
657;Holiare;478
658;Levice;33548
659;Bajka;315
660;Batovce;1136
661;Besa okres Levice;645
662;Bielovce;229
663;Bory;324
664;Brhlovce;305
665;Cajkov;957
666;Caka;750
667;Demandice;970
668;Devicany;392
669;Dolna Sec;461
670;Dolne Semerovce;559
671;Dolny Pial;935
672;Domadice;252
673;Drzenice;386
674;Farna;1345
675;Hokovce;504
676;Hontianska Vrbica;586
677;Horna Sec;550
678;Horne Semerovce;620
679;Horne Turovce;606
680;Horny Pial;268
681;Hronovce;1468
682;Hronske Klacany;1443
683;Hronske Kosihy;696
684;Ina;214
685;Ipelske Ulany;277
686;Ipelsky Sokolec;835
